Zygiella
Zoraida
Celaenorrhinus pulomaya formosanus
Cecidomyiidae
Cechetra lineosa
Carpodacus formosanus
Carpinus rankanensis
Carpinus
Carex sociata
Carex retrofracta
Carex makinoensis
Carex filicina
Carex doniana
Carex breviculmis
Carex
Carduinae
Cardamine occulta
Cardamine impatiens
Cardamine hirsuta
Cardamine flexuosa
Cardamine
Capsella bursa-pastoris
Capricornis swinhoei
Cantao ocellatus
Camellia japonica
Camellia
Calyptratae
Calvia quadrivittata
Calvia championorum
Calocera viscosa
Calocedrus formosana
Callopistria pulchrilinea
Callicarpa randaiensis
Callicarpa formosana formosana
Callicarpa formosana
Callicaria superba
Calletaera obliquata
Calanthe aristulifera
Calamaria pavimentata
Calamagrostis arundinacea
Bulbophyllum pectinatum
Bufo bankorensis
Bryum
Bryopsida
Bryophyta
Bryales
Bruggmanniella litseae
Broussonetia monoica
Bromus catharticus
Bromiini
Brahmaea wallichii insulata
Brahmaea wallichii
Bombus trifasciatus
Bombus
Boletus subvelutipes
Boletales
Boletaceae
Boenninghausenia albiflora
Boehmeria nivea tenacissima
Bletilla formosana
Birthamula rufa
Bidens pilosa pilosa
Bidens alba
Berberis oiwakensis
Berberis morrisonensis
Berberis kawakamii
Berberis
Bembicinae
Beilschmiedia erythrophloia
Begonia
Bazzania
Basidiomycota
Bartramia
Balanophora yakushimensis
Balanophora laxiflora
Balanophora harlandii
Balanophora
Aytoniaceae
Aves
Auzatellodes arizana
Auricularia auricula-judae
Atrophaneura horishana
Atrichum
Atkinsoniella
Athyrium tripinnatum
Athyrium oppositipennum
Athyrium delavayi subrigescens
Athyrium arisanense
Athyma asura
Astragalus nokoensis
Astraeus hygrometricus
Astilbe longicarpa
Asteraceae
Aster takasagomontanus
Aster taiwanensis
Aster formosanus
Aster ageratoides
Aster
Asplenium tripteropus
Asplenium trichomanes
Asplenium
Asparagaceae
Asota plana
Asota egens confinis
Asimitellaria formosana
Asilinae
Ascomycota
Asarum macranthum
Asarum ampulliflorum
Asarum
Artemisia morrisonensis
Artemisia indica
Artemisia argyi
Aroideae
Armillaria
Arisaema taiwanense taiwanense
Arisaema taiwanense
Arisaema ringens
Arisaema ilanense
Arisaema consanguineum
Arisaema
Argentina tugitakensis
Ardisia japonica
Ardisia crispa
Ardisia crenata
Araragi enthea
Araneus roseomaculatus
Araneidae
Araneae
Aralia decaisneana
Aralia bipinnata
Araiostegia perdurans
Arachniodes rhomboidea
Arachniodes festina
Arachniodes
Araceae
Arabidopsis lyrata kamchatica
Arabidopsis lyrata
Apterodela shirakii
Appias lyncida
Apopellia endiviifolia
Apis cerana
Apinae
Antrophyum parvulum
Anthriscus caucalis
Anthomyiidae
Anthocerotopsida
Anomalini
Anoectochilus formosanus
Animalia
Angiospermae
Andocamaria formosana
Anaphalis morrisonicola
Anaphalis
Ampulicidae
Ampittia virgata myakei
Ampelopsis glandulosa hancei
Ampelopsis glandulosa
Ambulyx sericeipennis
Amauropelta beddomei
Amauropelta angustifrons
Amata polymita
Amata perixanthia
Amanitaceae
Amanita rubrovolvata
Amanita rubescens
Amanita fulva
Amanita
Altica birmanensis
Alnus formosana
Aleuritopteris argentea
Aletris spicata
Aletris formosana
Albizia julibrissin
Alangium chinense
Akebia longeracemosa
Ainsliaea macroclinidioides
Ainsliaea latifolia
Ainsliaea henryi
Ainsliaea
Ailanthus altissima tanakai
Ailanthus altissima
Agrosteomela chinensis
Agetocera discedens
Agaricomycetes
Agaricales
Agaricaceae
Agalope trimacula
Adinandra lasiostyla
Adiantum capillus-veneris
Adelges cooleyi
Actinodura morrisoniana
Actinodaphne mushaensis
Actinidia setosa
Acridoidea
Acrididae
Aconitum volubile
Aconitum fukutomei
Aconitum formosanum
Aconitum
Achyranthes bidentata
Achalinus formosanus
Acer serrulatum
Acer palmatum
Acer morrisonense
Acer caudatifolium
Accipitridae
Abrota ganga formosana
Abrota ganga
Abroscopus albogularis
Abraximorpha davidii
Abraxas persimplex
Abraxas
Abies kawakamii
