Pandanus odorifer
Sphingini
Drilaster olivieri
Actias ningpoana
Alpinia japonica
Trichoglottis luchuensis
Cenchrus purpureus
Acacia confusa
Potentilla
Lasianthus japonicus
Oenanthe javanica
Poales
Persicaria muricata
Viola arcuata
Erianthella
Terpsiphone atrocaudata
Choaspes xanthopogon
Asilinae
Lasioglossum laeviderme
Loropetalum chinense
Sarcopyramis napalensis delicata
Strobilanthes rankanensis
Nubelaria arisanensis
Polyporaceae
Monachosorum henryi
Palhinhaea cernua
Leptogenys
Penthema formosanum
Vernicia montana
Rubus pectinellus
Polypodiidae
Lysimachia ardisioides
Liquidambar formosana
Kalanchoe blossfeldiana
Melia azedarach
Tulbaghia violacea
Houttuynia cordata
Allium tuberosum
Rhabdoblatta
Syntomini
Agaristinae
Atracis mucida
Herennia multipuncta
Dacrymyces spathularia
Lilioceris neptis
Micadina sonani
Amanita
Alpinia intermedia
Papilio thaiwanus
Coccoidea
Dolichopodidae
Mogannia formosana
Platystomatidae
Olene dudgeoni
Neohirasea japonica
Lamprigera yunnana
Erebus
Geisha distinctissima
Acosmerycoides harterti
Taxodium distichum
Schoenoplectiella mucronata
Nicotiana plumbaginifolia
Euphorbia hypericifolia
Cyperus brevifolius
Trachelospermum jasminoides
Excoecaria cochinchinensis
Passiflora edulis
Onychostoma alticorpus
Theretra tibetiana
Languriini
Symbrenthia brabira scatinia
Criotettix
Lilioceris egena
Jamides alecto dromicus
Leptogomphus sauteri
Psococerastis
Cerataphis jamuritsu
Cryptoderma formosense
Sigmella
Tipula
Bertula centralis
Riukiaria
Ericeia pertendens
Scopula propinquaria
Nymphalinae
Megarrhamphus truncatus
Trichosanthes laceribractea
Agomadaranus pardaloides
Bothrogonia ferruginea
Papilio memnon heronus
Polistella
Neoreta purpureofascia
Stathmopoda fusciumeraris
Lycostomus
Tropiduchidae
Calanthe dominyi
Huperzia serrata longipetiolata
Ficus caulocarpa
Euborellia annulipes
Badamia exclamationis
Oriolus traillii
Cleyera japonica morii
Megascolecidae
Ficus benguetensis
Cuora flavomarginata
Leucaena leucocephala
Pyrocoelia sanguiniventer
Helopeltis cinchonae
Araneomorphae
Ptecticus aurifer
Tetragnatha
Formicinae
Pisaura
Rawasia ritsemae
Pancorius magnus
Stenopsyche
Miresa
Eriovixia
Ectomomyrmex
Psychodinae
Diptera
Bengaliinae
Typhlocybinae
Cylindera psilica
Cylindera sauteri
Corinnomma severum
Criotettix bispinosus
Helicarionidae
Satsuma polymorpha
Potentilla hebiichigo
Scarabaeoidea
Thunbergia erecta
Wisteriopsis reticulata
Liparis formosana
Asarum chatienshanianum
Luciola curtithorax
Diopsidae
Languriinae
Elateridae
Gallinula chloropus
Hypopterygium
Ariamnes cylindrogaster
Herminia vermiculata
Lagriina
Eucorydia dasytoides
Myrmarachnini
Ctenophorinae
Halyomorpha halys
Orestes shirakii
Reduviidae
Camponotus habereri
Plexippus paykulli
Polyrhachis
Derispia
Calyptratae
Chamaita hirta
Polycanthagyna erythromelas
Caelifera
Pentatominae
Ficus nervosa
Cyrestis thyodamas chinensis
Mauriesia splendida
Neptis
Bolivaritettix sikkimensis
Hasarius adansoni
Epilachna maculicollis
Heliophorus ila matsumurae
Oxytate striatipes
Anareolatae
Tipulomorpha
Mecardonia procumbens
Eysarcoris guttigerus
Flatidae
Checupa stegeri
Thelypteridaceae
Scincidae
Styrax
Calostoma
Ceracupes
Cissus pteroclada
Centella asiatica
Polypodiales
Ficus pumila awkeotsang
Taractrocerini
Leiochrinini
Hemithyrsocera
Cyrestis thyodamas formosana
Erianthella formosana
Calinaga buddha formosana
Mordellidae
Noctuidae
Bradina
Calanthe alismifolia
Exsula dentatrix albomaculata
Agelasta perplexa
Papilio helenus
Mazus
Alsophila spinulosa
Ovophis makazayazaya
Sinibrama macrops
Galerucinae
Nygmiini
Mithuna arizana
Pyraloidea
Limacodidae
Bertula kosemponica
Perixera
Elachistidae
Beara tortriciformis
Panthera tigris tigris
Paris polyphylla
Cleora
Purpuricenus temminckii
Boiga kraepelini
Graphium cloanthus
Pseudosoriculus fumidus
Tetraponera
Plestiodon
Pterorhinus poecilorhynchus
Heliconia rostrata
Senecio nemorensis dentatus
Blumea linearis
Scolopendridae
Stapelia
Ricanoides pipera
Ensifera
Milionia zonea
Somena scintillans
Luma sericea
Orphanostigma angustale
Comostola laesaria
Enispa vinacea
Eugoa cernyi
Sphrageidus virguncula
Chrysodeixis minutus
Phalera
Eupithecia
Abrimoides esakii
Timelaea albescens
Hypena assimilis
Acolutha pictaria imbecilla
Chiasmia intermediaria
Ecliptopera rectilinea kanshinensis
Maxates acutigoniata
Manoba tristicta
Nola lucidalis
Statherotmantis pictana
Cyclodes omma
Celastrina lavendularis himilcon
Anoplophora macularia
Neptis taiwana
Ropalidia taiwana
Gobrya
Phaneroptera nigro-antennata
Lepturini
Trichoptera
Pareclipsis umbrata
Collix stellata
Scopula proximaria
Euproctis
Pyralidae
Trichogyia limacodiformis
Eugoa brunnea
